"STRING_id","gene","module","degree","degree_norm","strength_w","betweenness_w","closeness_w","eigenvector","lfc","padj"
"9606.ENSP00000220809","PLAT","2",4,0.019047619047619,3526,0.000865800865800866,236.435147941022,0.0267604767217137,1.18787573334974,5.61807240267606e-09
"9606.ENSP00000364979","COL4A1","2",3,0.0142857142857143,2267,0.0165869218500797,221.211370031184,0.0127760158360175,1.37361291263155,2.18338430302639e-21
"9606.ENSP00000451040","PGF","2",3,0.0142857142857143,2277,0.000136705399863295,219.073477177525,0.0122778263495185,1.3532330509519,1.52649414512111e-17
"9606.ENSP00000293761","ALOX15","2",3,0.0142857142857143,2495,0.00833902939166097,215.527597808354,0.00750420351200372,1.405769879454,5.84073768098588e-07
"9606.ENSP00000257264","TCN1","2",2,0.00952380952380952,1594,0,211.449533437964,0.0059476205971697,3.799944739711,4.57012117708175e-27
"9606.ENSP00000364140","COL15A1","2",2,0.00952380952380952,1655,0.00833902939166097,170.943626491373,0.000534280370762951,1.39678782564251,1.36643414527202e-20
"9606.ENSP00000301455","ANGPTL4","2",2,0.00952380952380952,1578,0.00833902939166097,149.838320131197,4.62064900870762e-05,1.23522364764289,3.13580113090778e-12
"9606.ENSP00000383364","PLA2G2A","2",2,0.00952380952380952,1736,0,213.22765435866,0.00721504396932498,1.94170559976204,1.23446667458087e-11
"9606.ENSP00000371798","FSCN1","2",1,0.00476190476190476,844,0,127.351951770592,2.19801627816988e-06,1.12809307783267,4.37268476306797e-23
"9606.ENSP00000290472","PLA2G4D","2",1,0.00476190476190476,720,0,166.082123453376,0.000304524737553064,1.39288336561183,1.63344129610396e-18
"9606.ENSP00000303634","LRP8","2",1,0.00476190476190476,836,0,190.264484692545,0.00240184354498323,1.27980088193744,9.10002823488452e-17
"9606.ENSP00000261267","LYZ","2",1,0.00476190476190476,901,0,194.085345382123,0.00109979864249179,1.41681920337475,9.28819199845595e-16
"9606.ENSP00000379866","COL4A4","2",1,0.00476190476190476,915,0,144.15789464563,2.75534376471769e-05,1.79629328899249,2.11094197411122e-15
"9606.ENSP00000337816","MMP25","2",1,0.00476190476190476,912,0,190.793131184837,0.00101730398985969,1.29243212809313,1.28481057354791e-11
"9606.ENSP00000472308","TEX101","2",1,0.00476190476190476,811,0,176.975042157241,0.000870898407582242,1.48373123165141,3.25202555366222e-09
"9606.ENSP00000263686","SELP","3",8,0.0380952380952381,6630,0.0229665071770335,263.545081203886,0.144797616580394,1.27690939420013,5.885755812224e-23
"9606.ENSP00000331736","SELE","3",6,0.0285714285714286,5149,0,264.529063817295,0.149936614285805,2.81205348844471,2.59165608377086e-32
"9606.ENSP00000295927","PTX3","3",3,0.0142857142857143,2735,0.0152198678514468,211.598899899543,0.00786442303452287,2.62820872700316,3.84759330939254e-08
"9606.ENSP00000264664","FGF10","3",3,0.0142857142857143,2583,0.00934153565732513,176.092892928133,0.000444475495392743,1.10516928166165,3.19135604568482e-06
"9606.ENSP00000360871","FCN1","3",2,0.00952380952380952,1697,0.000318979266347687,186.142846382389,0.00414845808149096,2.07207240320862,4.87953588850985e-19
"9606.ENSP00000371770","FGFBP1","3",1,0.00476190476190476,987,0,149.555392234833,2.47258057476514e-05,1.22117453003181,8.94855610024658e-11
"9606.ENSP00000494017","SLC26A4","4",4,0.019047619047619,3130,0.000227842333105491,770.671155217871,0,1.42322085771964,7.7247277823285e-08
"9606.ENSP00000372295","GJB2","4",2,0.00952380952380952,1951,0,580.490267663614,0,2.38971283087446,1.39824611809189e-31
"9606.ENSP00000494468","GJB6","4",2,0.00952380952380952,1709,0,503.686948084355,0,1.43401011572303,2.07631748604433e-18
"9606.ENSP00000405812","SLC4A8","4",1,0.00476190476190476,718,0,426.960225402631,0,1.19337151199559,9.02424620030386e-15
"9606.ENSP00000364265","FOXE1","4",1,0.00476190476190476,732,0,430.633462541382,0,1.24003802163751,1.99191612312636e-08
"9606.ENSP00000245919","FOSB","5",2,0.00952380952380952,1734,4.55684666210982e-05,847.206459054217,0,1.60841407204992,1.0976495588357e-07
"9606.ENSP00000310170","FOSL1","5",1,0.00476190476190476,998,0,594.759514170034,0,3.07237480647567,2.96998759904709e-30
"9606.ENSP00000482027","NR4A3","5",1,0.00476190476190476,736,0,537.72181551978,0,2.21721045672837,3.36225950197688e-21
"9606.ENSP00000357711","S100A7","6",10,0.0476190476190476,8317,0.198450672134883,240.53787116677,0.00459929769986969,1.92267454133496,1.46185581486774e-10
"9606.ENSP00000357726","S100A12","6",5,0.0238095238095238,4340,0.114285714285714,277.723110296748,0.0431974720831086,3.96206331070835,3.07330569920397e-30
"9606.ENSP00000357721","S100A8","6",4,0.019047619047619,3470,0.000364547732968786,226.621677398386,0.00363205922032908,3.50056098920212,5.73659930147969e-20
"9606.ENSP00000357727","S100A9","6",3,0.0142857142857143,2802,0,223.628974953802,0.00271682554296732,3.22038253803693,2.34192441743427e-20
"9606.ENSP00000283752","SERPINB3","6",3,0.0142857142857143,2535,0.00975165185691501,184.834424856611,0.000207709663233051,2.36777559307306,9.52217220328302e-20
"9606.ENSP00000303532","DEFB4A","6",3,0.0142857142857143,2629,0.0904534062428799,263.306601521335,0.0383028403747837,3.87841093283277,1.45423826047972e-17
"9606.ENSP00000345344","CTSL","6",2,0.00952380952380952,1826,0.00291638186375028,153.150451590706,5.81420682389145e-05,1.15351899270043,2.23784548624425e-19
"9606.ENSP00000227266","CTSC","6",2,0.00952380952380952,1443,0.0149008885850991,209.67390930521,0.0264761091545747,1.1403784740447,1.51017728304467e-14
"9606.ENSP00000343445","SERPINB4","6",2,0.00952380952380952,1704,0,180.936641554246,0.00019444887406989,3.18316427586202,1.64172202452477e-13
"9606.ENSP00000269489","SERPINB13","6",2,0.00952380952380952,1664,0.00305308726361358,152.575902377901,1.20198225292864e-05,1.16938441832061,1.78847064800834e-13
"9606.ENSP00000420384","CST7","6",2,0.00952380952380952,1666,0.00820232399179768,170.925535957005,0.0010849600533716,1.37991451087766,3.3085459606466e-13
"9606.ENSP00000499289","S100A2","6",1,0.00476190476190476,705,0,179.595110717255,0.000182753673682187,1.64017967642909,7.69892231705836e-21
"9606.ENSP00000297258","FABP5","6",1,0.00476190476190476,883,0,189.261405112345,0.000228895735973578,1.58493962670846,1.39854077775358e-19
"9606.ENSP00000357718","S100A7A","6",1,0.00476190476190476,962,0,192.633647559271,0.000249374516428747,3.95114110307466,3.03446748088882e-18
"9606.ENSP00000411355","PTPRC","7",35,0.166666666666667,28741,0.0560036454773297,311.024201692366,0.741780583349833,1.14505038773181,3.3989451077019e-12
"9606.ENSP00000356946","FCGR3A","7",31,0.147619047619048,25324,0.0517657780815676,299.4164191252,0.707498926246985,1.49496164974116,1.77386881286366e-18
"9606.ENSP00000324890","CD28","7",31,0.147619047619048,26518,0.0421052631578947,298.28931511557,0.688331889729337,1.55485852629046,7.44863476770069e-16
"9606.ENSP00000497102","CTLA4","7",29,0.138095238095238,24146,0.0287081339712919,292.917553021514,0.686789467673198,1.68252771976815,2.3846422821054e-14
"9606.ENSP00000358490","CD2","7",29,0.138095238095238,25100,0.0266575529733424,275.349301615569,0.633443845947525,1.10402891017083,2.70063941348131e-10
"9606.ENSP00000216341","GZMB","7",28,0.133333333333333,22542,0.0448849396217817,290.5767047095,0.653155230170134,2.26609081921847,1.34101725274978e-15
"9606.ENSP00000306157","IL7R","7",27,0.128571428571429,21741,0.0116655274550011,289.257349798134,0.6387939224891,1.46196686448899,6.41675589020361e-14
"9606.ENSP00000454623","ITGAX","7",25,0.119047619047619,19752,0.0186830713146503,294.177005014553,0.550383158571734,1.73201486687789,3.95443287254302e-21
"9606.ENSP00000498227","SELL","7",23,0.10952380952381,19106,0.013442697653224,285.051636751868,0.599575268103392,1.92076358206434,2.22254885631258e-24
"9606.ENSP00000319476","ICOS","7",23,0.10952380952381,19420,0.00428343586238323,268.183124890121,0.536311742861872,1.6853072912918,3.50685636496153e-13
"9606.ENSP00000266557","CD27","7",23,0.10952380952381,18959,0.00109364319890636,268.539417592445,0.583081599978531,1.43766504597028,2.46097839232986e-11
"9606.ENSP00000228434","CD69","7",22,0.104761904761905,17962,0.0248348143084985,268.818447003889,0.577990672343904,1.17062897681663,1.72627818952818e-09
"9606.ENSP00000432511","JAK3","7",19,0.0904761904761905,15643,0.0185007974481659,264.083994643551,0.353322740614576,1.53952167984751,4.92633019308817e-21
"9606.ENSP00000370989","CD274","7",19,0.0904761904761905,16294,0.0117566643882433,285.677291650224,0.445466222395442,1.74046430753935,1.3858260482136e-17
"9606.ENSP00000354782","CD247","7",19,0.0904761904761905,16453,0.0026429710640237,260.047380711787,0.430322550678929,1.1448655902402,1.49395213035964e-11
"9606.ENSP00000342681","CD5","7",18,0.0857142857142857,14832,0.0026429710640237,259.65539971381,0.414147565961018,1.45919111236128,8.8088239194142e-16
"9606.ENSP00000369293","IL2RA","7",17,0.080952380952381,13689,0.0128503075871497,281.871883327066,0.355880297629304,1.62640708988224,5.7923462595412e-15
"9606.ENSP00000335062","PDCD1","7",17,0.080952380952381,14361,0.000637958532695375,262.890475263687,0.385641564151278,1.45244220884721,5.20522092417543e-10
"9606.ENSP00000478699","TNFRSF9","7",17,0.080952380952381,14104,0.000774663932558669,259.36275730988,0.405529824191986,1.64630123296674,1.08131791852369e-09
"9606.ENSP00000419085","TIGIT","7",15,0.0714285714285714,12265,0.00455684666210982,254.018649608595,0.31517485379264,1.43279332732386,1.07465286182346e-12
"9606.ENSP00000430950","IDO1","7",15,0.0714285714285714,12454,0.0576896787423103,278.048625285924,0.285094535656739,1.34481227850798,7.72585078770904e-10
"9606.ENSP00000300692","CD3D","7",14,0.0666666666666667,11889,0.000820232399179768,250.298445002536,0.276422136425932,1.10392501705254,1.10727296490251e-09
"9606.ENSP00000349252","ITGAL","7",12,0.0571428571428571,10063,0.00391888812941445,255.190054297565,0.273179873000175,1.27322480944867,1.62961137079157e-13
"9606.ENSP00000398655","ITK","7",11,0.0523809523809524,9534,0.00833902939166097,246.437321054818,0.238202764802244,1.15792718002374,6.0115945660036e-10
"9606.ENSP00000368538","TNFRSF4","7",10,0.0476190476190476,8488,0,245.853580452459,0.263682248214888,1.52146923891662,2.18430340669765e-13
"9606.ENSP00000312027","CD7","7",9,0.0428571428571429,7589,0,243.391529133817,0.213118122229833,1.53648776264568,8.57552569614331e-17
"9606.ENSP00000323280","CD6","7",9,0.0428571428571429,7713,0,230.565813832512,0.160680116965104,1.10142983334172,1.39517837350332e-10
"9606.ENSP00000271450","FCGR2A","7",8,0.0380952380952381,6338,0.000227842333105491,247.740754538749,0.164964281175055,1.15411023562553,1.21305674293694e-15
"9606.ENSP00000360181","SH2D1A","7",8,0.0380952380952381,6928,0.000273410799726589,217.376878639108,0.119658300812832,1.28225728064596,6.81245169084591e-11
"9606.ENSP00000330341","SOCS3","7",7,0.0333333333333333,5994,0.00975165185691501,260.654676702783,0.101166848944394,2.12418009255386,9.37948397274233e-21
"9606.ENSP00000438406","SLAMF1","7",7,0.0333333333333333,5822,0.00104807473228526,236.82200315837,0.122187872781563,1.44523209329641,4.57862621651641e-13
"9606.ENSP00000329932","LGALS9C","7",7,0.0333333333333333,6311,0.00154932786511734,244.020043273095,0.153246601781543,1.48520860952791,2.4940224326949e-12
"9606.ENSP00000379111","IL4R","7",6,0.0285714285714286,5097,0.00637958532695375,255.022244095837,0.101947862143183,1.12170450669517,7.43311930903446e-23
"9606.ENSP00000338010","IL21R","7",6,0.0285714285714286,4907,9.11369332421964e-05,228.543290696389,0.0924384704816018,1.63944571677379,2.62466660232876e-15
"9606.ENSP00000356016","CR1","7",6,0.0285714285714286,4461,0.00419229892914103,230.404997061213,0.0921414051412084,1.3549765004281,3.02664228360214e-10
"9606.ENSP00000470788","IL12RB1","7",5,0.0238095238095238,3838,0,224.07830662782,0.0728339311731914,1.2770809415819,3.22041438377059e-15
"9606.ENSP00000461947","CD226","7",5,0.0238095238095238,4233,0.0076099339257234,229.95210498837,0.0880542462153897,1.23358847522861,3.82343612351886e-10
"9606.ENSP00000357150","CD1B","7",5,0.0238095238095238,3678,0,221.242882686415,0.100871669841844,1.36547437170286,6.25964420626551e-06
"9606.ENSP00000357022","SLAMF7","7",4,0.019047619047619,3268,0,226.779509791181,0.0743145215651868,1.29160221335772,7.32197857724585e-22
"9606.ENSP00000436423","GNLY","7",4,0.019047619047619,3315,0.00173160173160173,246.510313540982,0.0852180593910044,1.32177979828298,2.82820300411289e-09
"9606.ENSP00000263125","PRKCQ","7",3,0.0142857142857143,2719,0,230.421786645434,0.0583418212910736,1.70194157968341,3.7835880962934e-21
"9606.ENSP00000497382","CD53","7",3,0.0142857142857143,2477,0.00833902939166097,234.010025987081,0.0680306346903286,1.10246742663604,4.91290562914027e-16
"9606.ENSP00000384053","CSF2RB","7",3,0.0142857142857143,2192,0,208.859404649167,0.0303447841098828,1.21330619930582,1.15466930680046e-15
"9606.ENSP00000284240","THY1","7",3,0.0142857142857143,2455,0,236.712725562527,0.0745937830793535,1.41912119705788,4.36280070442712e-14
"9606.ENSP00000362195","CSF3R","7",3,0.0142857142857143,2628,0,219.434139635677,0.0255597435377262,1.42999255700914,4.5408370700797e-10
"9606.ENSP00000356429","RGS1","7",2,0.00952380952380952,1585,0.00833902939166097,204.103542846908,0.0272176832427898,1.91907158175677,1.18006022437726e-15
"9606.ENSP00000380150","CARD11","7",2,0.00952380952380952,1897,0,224.583626183897,0.0381589945640028,1.17091308039809,1.06775793315285e-11
"9606.ENSP00000361004","IL13RA2","7",2,0.00952380952380952,1738,0,208.086795281812,0.0204566246733775,1.50868639878714,5.89793548530387e-11
"9606.ENSP00000330393","LEPR","7",2,0.00952380952380952,1791,0,215.382548947915,0.0215391477349512,-1.21645388044103,8.82124353090518e-11
"9606.ENSP00000378485","MATK","7",2,0.00952380952380952,1694,0,226.125510475835,0.0399524772693962,1.11155172887621,1.19116302142858e-10
"9606.ENSP00000242465","SRGN","7",1,0.00476190476190476,964,0,223.556668733393,0.0354877872116202,1.52413556453579,1.18308466477632e-27
"9606.ENSP00000376123","SH2D2A","7",1,0.00476190476190476,834,0,190.463450108903,0.011196913581446,2.15656079452901,1.34697097657169e-27
"9606.ENSP00000264170","KYNU","7",1,0.00476190476190476,983,0,217.001717305609,0.0157953003634601,1.69526841663279,2.65788663405165e-21
"9606.ENSP00000365596","GPR183","7",1,0.00476190476190476,745,0,197.82512356715,0.0242695978575289,1.33040744933256,2.24148330687271e-19
"9606.ENSP00000413861","SIGLEC9","7",1,0.00476190476190476,729,0,212.57973778893,0.029069582274245,1.37323668893144,2.27037917144083e-19
"9606.ENSP00000349359","SASH3","7",1,0.00476190476190476,715,0,176.543651892972,0.002741549187542,1.35664309082282,5.08198974042434e-18
"9606.ENSP00000370074","SERPINB9","7",1,0.00476190476190476,958,0,223.234197981703,0.0352669088679794,1.25281903589731,9.44487842098854e-17
"9606.ENSP00000234313","PLEK","7",1,0.00476190476190476,751,0,160.673667730084,0.00115206390521737,1.16337434591372,1.19458061817235e-16
"9606.ENSP00000472474","IL4I1","7",1,0.00476190476190476,941,0,214.89585185738,0.0151204248647162,1.8021398793677,1.71525807754742e-13
