"STRING_id","gene","module","deg","lfc","padj"
"9606.ENSP00000395704","CXCR6","11",19,1.4028686496258,1.03406856109629e-10
"9606.ENSP00000295683","CXCR1","11",18,1.79303739059707,5.0540212251734e-19
"9606.ENSP00000296140","CCR1","11",18,1.40756556572291,3.12565979428472e-17
"9606.ENSP00000308815","CCL19","11",18,1.77443318675148,6.41901990533817e-12
"9606.ENSP00000219235","CCL22","11",17,1.30169936457234,7.37667275753429e-08
"9606.ENSP00000219244","CCL17","11",15,2.13199521994421,1.391994363719e-08
"9606.ENSP00000416996","ACKR2","11",11,1.25361357804544,4.89530246436932e-08
"9606.ENSP00000479955","CCL18","11",11,1.42575187288493,2.50445593965921e-07
"9606.ENSP00000332659","CCR4","11",6,1.56945064899335,7.59111222708091e-12
"9606.ENSP00000359488","GBP5","11",2,1.28276155887116,9.77438953060324e-13
"9606.ENSP00000410481","LTB","11",1,1.30802922257938,3.91547615487375e-10
"9606.ENSP00000418268","MCM10","12",4,1.23277961256837,1.21097489585995e-11
"9606.ENSP00000303706","CDC25A","12",2,1.23148419947266,2.03113247981345e-16
"9606.ENSP00000353770","RRM2","12",2,1.25937796995836,1.52308630304575e-12
"9606.ENSP00000217026","MYBL2","12",2,1.12304016934791,2.78187646848604e-10
"9606.ENSP00000268138","TICRR","12",1,1.36279325241526,5.86747905887544e-13
"9606.ENSP00000334675","ERCC6L","12",1,1.13851163343172,3.47479046834995e-11
"9606.ENSP00000352584","AKR1B10","13",2,2.17169253895229,3.09065398441697e-16
"9606.ENSP00000379087","ADM2","13",1,1.17338543198951,4.90567837404805e-16
"9606.ENSP00000292432","HK3","13",1,1.33094531216992,1.89322511466551e-13
"9606.ENSP00000376786","POU2AF1","14",2,2.58993880941542,2.74317484240267e-05
"9606.ENSP00000344544","IKZF3","14",1,1.2002015038052,4.86137847709334e-11
"9606.ENSP00000440066","JCHAIN","14",1,2.43509723388154,0.00159147013084747
"9606.ENSP00000378488","CYP1A1","15",5,-1.43113786320001,3.64502045903216e-05
"9606.ENSP00000379683","CYP19A1","15",2,1.91625182669374,3.34819020434858e-10
"9606.ENSP00000362525","UGT1A7","15",2,1.23583179644621,3.39162661616881e-06
"9606.ENSP00000332256","ALDH1A3","15",1,1.17588026018021,1.18305122454876e-09
"9606.ENSP00000355995","HSD11B1","15",1,-1.28576328565964,6.24786218626645e-07
"9606.ENSP00000286574","WIF1","16",2,-1.96600797383727,5.05275405525426e-09
"9606.ENSP00000266066","SFRP5","16",1,-1.1892687554492,8.75267556965788e-08
"9606.ENSP00000363081","DKK1","16",1,-1.27250782411281,6.62572530998266e-05
